id, name, firstname, lastname, age, birth, place, country, nationality, height, weight, injured, photo, team_id, team, team_logo, league_id, league, league_nationality, league_logo, league_nationality_flag, season, apps, lineups, minutes, number, position, rating, captain, subbed_in, subbed_out, bench, shots_total, shots_on, goals_total, goals_conceded, assists, saves, passes_total, passes_key, passes_accuracy, tackles_total, tackles_blocks, tackles_int, duels_total, duels_won, dribbles_att, dribbles_success, dribles_past, fouls_drawn, fouls_commited, cards_y, cards_yr, cards_r, pen_won, pen_commited, pen_scored, pen_missed, pen_saved 
356838,Pablo, Pablo, Martins da Silva,19, 2003-06-07, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/356838.png,151,Goias, https://media.api-sports.io/football/teams/151.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Midfielder, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
358568,Jeder, Jeder Valtemir, Jardim da Silva,20, 2002-01-05, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/358568.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
360304,Marcão, Marcos Vinicius, Carvalho dos Reis,21, 2001-05-15, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/360304.png,125,America Mineiro, https://media.api-sports.io/football/teams/125.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
361041,Marcos Vinicius, Marcos Vinicius, Ribeiro do Prado,18, 2004-02-27, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/361041.png,125,America Mineiro, https://media.api-sports.io/football/teams/125.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Midfielder, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 361752,Jhonnatha Borges, Jhonnatha, Souza Borges,18, 2004-04-20, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/361752.png,120,Botafogo, https://media.api-sports.io/football/teams/120.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Attacker, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 362712,L. Zabala, Leonardo Yassir, Zabala Zeballos,20, 2002-05-23, None, Bolivia, Bolivia, None, None, False, https://media.api-sports.io/football/players/362712.png,128,Santos, https://media.api-sports.io/football/teams/128.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 363315,Serafim, Vinicius, Lima Serafim,18, 2004-05-16, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/363315.png,121,Palmeiras, https://media.api-sports.io/football/teams/121.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 363702,Ryan, Ryan Rick, Andrade do Carmo,17, 2005-01-09, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/363702.png,1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Midfielder, None, False, 0, 0, 0, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, None, None, None
 371640,Danilo Silva, Danilo, Batista Silva,20, 2002-03-12, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/371640.png,151,Goias, https://media.api-sports.io/football/teams/151.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Midfielder, None, False, 0, 0, 2, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 32,D. Godín, Diego Roberto, Godín Leal,37, 1986-02-16, Rosario, Uruguay, Uruguay, 187 cm, 78 kg, False, https://media.api-sports.io/football/players/32.png,1062,Atletico-MG, https://media.api-sports.io/football/teams/1062.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 1, 1, 90, None, Defender, 6.200000, False, 0, 0, 2, None, None, 0, 0, None, None, 80, None, 73, 2, None, 2, 15, 7, None, None, None, 2, committed: 2, 0, 0, 0, None, None, 0, 0, None
 9310,Moraes, Onitlasi Júnior, de Moraes Rodrigues,26, 1997-10-03, Goianira, Brazil, Brazil, 170 cm, 65 kg, False, https://media.api-sports.io/football/players/9310.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 19, 14, 1364, None, Defender, 6.741176, False, 5, 3, 12, 14, 7, 1, 0, 1, None, 465, 10, 21, 25, 5, 28, 133, 66, 35, 13, None, 15, committed: 11, 4, 0, 0, None, None, 0, 0, None
 9374,Márcio Victor da Silva, Márcio Victor, da Silva,23, 2000-11-06, São Paulo, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/9374.png,151,Goias, https://media.api-sports.io/football/teams/151.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Goalkeeper, None, False, 0, 0, 1, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, 0
 9835,João Paulo, João Paulo, Gomes da Costa,36, 1986-07-01, Rio de Janeiro, Brazil, Brazil, 173 cm, 71 kg, False, https://media.api-sports.io/football/players/9835.png,125,America Mineiro, https://media.api-sports.io/football/teams/125.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 6, 4, 347, None, Defender, 6.700000, False, 2, 2, 9, 3, 1, 0, 0, None, None, 106, 3, 20, 8, 2, 4, 24, 13, 2, None, None, None, committed: 1, 0, 0, 0, None, None, 0, 0, None
 9937,Ricardo Goulart, Ricardo, Goulart Pereira,32, 1991-06-05, São Paulo, Brazil, Brazil, 181 cm, 80 kg, False, https://media.api-sports.io/football/players/9937.png,128,Santos, https://media.api-sports.io/football/teams/128.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 11, 4, 399, None, Attacker, 6.610000, False, 7, 4, 10, 3, None, 0, 0, None, None, 137, 5, 10, 4, None, 2, 37, 20, 5, 2, None, 5, committed: 6, 2, 0, 0, None, None, 0, 0, None
 10483,Paulo Miranda, Jonathan, Doin,35, 1988-08-16, Piraí do Sul, Brazil, Brazil, 182 cm, 87 kg, False, https://media.api-sports.io/football/players/10483.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 19, 16, 1476, None, Defender, 6.678947, False, 3, 3, 10, 8, 3, 0, 0, None, None, 769, 2, 34, 6, 18, 23, 110, 63, 1, None, None, 7, committed: 18, 5, 0, 0, None, None, 0, 0, None
 133182,Vitor Mendes, Vitor, Mendes Alves,24, 1999-02-13, Belém, Brazil, Brazil, 186 cm, 75 kg, False, https://media.api-sports.io/football/players/133182.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 19, 19, 1650, None, Defender, 6.766666, False, 0, 2, 5, 14, 4, 1, 0, None, None, 730, 2, 33, 18, 12, 29, 124, 70, 2, None, None, 14, committed: 15, 9, 1, 0, None, None, 0, 0, None
 195398,Diego Porfírio, Diego, Porfírio da Silva,24, 1999-08-01, Pindamonhangaba, Brazil, Brazil, 182 cm, 76 kg, False, https://media.api-sports.io/football/players/195398.png,147,Coritiba, https://media.api-sports.io/football/teams/147.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 8, 5, 450, None, Defender, 6.450000, False, 3, 3, 13, 2, None, 0, 0, None, None, 150, 2, 20, 10, 1, 5, 40, 20, 10, 3, None, 6, committed: 2, 3, 1, 0, None, None, 0, 0, None
